GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME,JN9E001,JN9E002,JN9E003,JN9E004,JN9E005,JN9E006,JN9E007,JN9E008,JN9E009,JN9E010,JN9E011,JN9E012,JN9E013,JN9E014,JN9E015,JN9E016,JN9E017,JN9E018,JN9E019,JN9E020,JN9E021,JN9E022,JN9E023,JN9E024,JN9E025,JN9E026,JN9E027,JN9E028,JN9E029,JN9E030,JN9E031,JN9E032,JN9E033,JN9E034,JN9E035,JN9M001,JN9M002,JN9M003,JN9M004,JN9M005,JN9M006,JN9M007,JN9M008,JN9M009,JN9M010,JN9M011,JN9M012,JN9M013,JN9M014,JN9M015,JN9M016,JN9M017,JN9M018,JN9M019,JN9M020,JN9M021,JN9M022,JN9M023,JN9M024,JN9M025,JN9M026,JN9M027,JN9M028,JN9M029,JN9M030,JN9M031,JN9M032,JN9M033,JN9M034,JN9M035
G4201010036301,2006-2010,Pennsylvania,42,Philadelphia County,101,36301,Census Tract 363.01, Philadelphia County, Pennsylvania,2604,1191,32,0,0,11,69,17,29,8,592,128,91,90,76,23,0,25,1413,15,0,10,0,8,53,49,29,634,79,196,57,213,48,9,13,186,120,35,109,109,18,66,24,21,13,141,73,68,63,42,22,109,27,156,26,109,15,109,14,56,40,27,127,51,81,44,85,32
G4201010036400,2006-2010,Pennsylvania,42,Philadelphia County,101,36400,Census Tract 364, Philadelphia County, Pennsylvania,393,362,43,49,0,15,0,22,7,36,153,0,30,0,7,0,0,0,31,0,24,0,0,0,0,0,0,7,0,0,0,0,0,0,0,280,292,72,81,109,18,109,36,12,58,200,109,32,109,12,109,109,109,42,109,40,109,109,109,109,109,109,12,109,109,109,109,109
G4201010036600,2006-2010,Pennsylvania,42,Philadelphia County,101,36600,Census Tract 366, Philadelphia County, Pennsylvania,1139,673,0,0,0,0,10,0,0,0,64,12,76,24,344,68,27,48,466,0,0,0,0,0,0,0,0,0,9,85,0,191,96,65,20,163,127,109,109,109,109,16,109,109,109,69,18,67,39,108,28,20,51,116,109,109,109,109,109,109,109,109,109,14,53,109,68,51
G4201010034803,2006-2010,Pennsylvania,42,Philadelphia County,101,34803,Census Tract 348.03, Philadelphia County, Pennsylvania,3305,1569,14,0,0,22,0,48,30,20,854,76,146,67,251,29,0,12,1736,0,0,36,0,19,63,21,46,759,91,155,181,193,156,9,7,248,167,21,109,109,32,109,46,28,22,145,42,66,41,80,26,109,18,120,109,109,42,109,21,58,24,44,130,57,89,81,75,76
G4201010034702,2006-2010,Pennsylvania,42,Philadelphia County,101,34702,Census Tract 347.02, Philadelphia County, Pennsylvania,3300,1412,0,0,0,9,15,33,38,12,555,87,161,112,305,32,53,0,1888,9,8,11,78,41,86,41,44,734,66,146,79,286,167,67,25,325,145,109,109,109,14,25,29,40,18,102,50,67,68,133,25,45,109,271,14,14,18,59,24,65,28,34,122,39,82,46,93,127
G4201010036202,2006-2010,Pennsylvania,42,Philadelphia County,101,36202,Census Tract 362.02, Philadelphia County, Pennsylvania,4324,2013,11,0,15,16,64,49,42,24,945,103,309,98,297,40,0,0,2311,21,0,0,82,54,52,63,0,1034,168,181,254,349,27,26,0,284,224,19,109,22,25,60,39,38,30,177,84,144,78,107,38,109,109,229,33,109,109,78,40,40,46,109,188,72,102,103,156,31
G4201010003800,2006-2010,Pennsylvania,42,Philadelphia County,101,3800,Census Tract 38, Philadelphia County, Pennsylvania,2955,1393,0,15,21,22,8,25,69,21,505,35,158,73,278,71,61,31,1562,17,0,33,59,19,27,84,40,600,61,103,152,176,124,52,15,226,179,109,24,22,34,12,25,46,21,118,29,110,46,120,39,44,34,173,27,109,41,40,24,25,62,32,118,66,72,97,71,90
G4201010008302,2006-2010,Pennsylvania,42,Philadelphia County,101,8302,Census Tract 83.02, Philadelphia County, Pennsylvania,2397,909,7,12,0,4,29,50,55,30,499,66,125,0,8,24,0,0,1488,7,0,36,13,57,77,112,6,642,60,343,34,91,0,10,0,303,214,11,23,109,8,44,44,56,35,184,52,87,109,16,30,109,109,207,10,109,45,24,48,66,54,9,196,48,157,34,73,109
G4201010017602,2006-2010,Pennsylvania,42,Philadelphia County,101,17602,Census Tract 176.02, Philadelphia County, Pennsylvania,2535,1479,9,60,103,118,145,72,14,81,386,111,210,0,146,24,0,0,1056,40,109,78,20,157,35,68,40,331,77,31,0,70,0,0,0,824,735,15,49,84,103,89,57,23,68,154,95,260,109,174,33,109,109,200,41,60,58,25,107,39,48,50,139,66,37,109,64,109
G4201010001002,2006-2010,Pennsylvania,42,Philadelphia County,101,1002,Census Tract 10.02, Philadelphia County, Pennsylvania,2803,1209,16,0,0,0,0,0,0,0,74,0,126,47,237,187,346,176,1594,0,0,0,0,0,49,10,30,43,25,98,83,458,488,194,116,408,195,26,109,109,109,109,109,109,109,57,109,73,50,94,96,126,97,334,109,109,109,109,109,55,16,48,41,28,58,60,241,160
G4201010001001,2006-2010,Pennsylvania,42,Philadelphia County,101,1001,Census Tract 10.01, Philadelphia County, Pennsylvania,1983,877,0,0,0,0,0,0,0,0,86,56,50,11,188,189,220,77,1106,0,0,0,0,65,0,10,0,138,9,45,51,332,227,186,43,223,166,109,109,109,109,109,109,109,109,47,39,40,20,106,76,86,50,124,109,109,109,109,64,109,17,109,58,14,42,64,123,82
