origin_state_abr,dest_state_abr,passengers
"AK","AK",2619016
"AK","AL",0
"AK","AZ",100308
"AK","CA",168812
"AK","CO",140719
"AK","FL",328
"AK","GA",23769
"AK","HI",109389
"AK","IA",16
"AK","ID",0
"AK","IL",201017
"AK","IN",0
"AK","KY",0
"AK","LA",0
"AK","MA",3303
"AK","MD",33
"AK","MI",4648
"AK","MN",315691
"AK","MO",29
"AK","NC",0
"AK","ND",0
"AK","NE",54
"AK","NJ",4512
"AK","NV",39697
"AK","NY",12
"AK","OH",128
"AK","OR",268968
"AK","PA",5
"AK","SC",0
"AK","SD",0
"AK","TN",0
"AK","TT",0
"AK","TX",106877
"AK","UT",53206
"AK","VA",279
"AK","WA",2334955
"AK","WI",1
"AK","WY",0
"AL","AL",224
"AL","AR",1354
"AL","AZ",2833
"AL","CA",21711
"AL","CO",60654
"AL","CT",477
"AL","FL",302748
"AL","GA",1687508
"AL","IA",19
"AL","ID",439
"AL","IL",299200
"AL","IN",638
"AL","KS",338
"AL","KY",587
"AL","LA",1564
"AL","MA",162
"AL","MD",127624
"AL","ME",6
"AL","MI",118343
"AL","MN",18880
"AL","MO",4896
"AL","MS",628
"AL","MT",10
"AL","NC",578990
"AL","ND",0
"AL","NE",417
"AL","NH",452
"AL","NJ",804
"AL","NM",1245
"AL","NV",86371
"AL","NY",49057
"AL","OH",1886
"AL","OK",476
"AL","OR",102
"AL","PA",24301
"AL","PR",19
"AL","RI",423
"AL","SC",630
"AL","TN",1850
"AL","TX",1087042
"AL","UT",171
"AL","VA",180740
"AL","VT",38
"AL","WA",229
"AL","WI",128
"AL","WV",285
"AL","WY",0
"AR","AR",3133
"AR","AZ",79424
"AR","CA",58954
"AR","CO",130417
"AR","CT",109
"AR","FL",63028
"AR","GA",744500
"AR","ID",13
"AR","IL",478617
"AR","IN",79
"AR","KS",73
"AR","KY",19208
"AR","LA",2360
"AR","MA",45
"AR","MD",49017
"AR","MI",52006
"AR","MN",52587
"AR","MO",14716
"AR","MS",2447
"AR","MT",239
"AR","NC",229397
"AR","NE",34
"AR","NH",193
"AR","NJ",13220
"AR","NM",1941
"AR","NV",114374
"AR","NY",64547
"AR","OH",1044
"AR","OK",558
"AR","OR",292
"AR","PA",376
"AR","PR",4
"AR","RI",4
"AR","SC",399
"AR","SD",50
"AR","TN",9586
"AR","TX",1331472
"AR","UT",249
"AR","VA",9754
"AR","WA",598
"AR","WI",40
"AZ","AZ",787904
"AZ","CA",10390823
"AZ","CO",2674454
"AZ","CT",4389
"AZ","FL",1113089
"AZ","GA",1355132
"AZ","HI",855700
