"","business_id","Score","name","longitude","latitude"
"1",19,94,"Nrgize Lifestyle Cafe",-122.421547,37.786848
"2",24,96,"OMNI S.F. Hotel - 2nd Floor Pantry",-122.403135,37.792888
"3",31,100,"Norman's Ice Cream and Freezes",-122.419004,37.807155
"4",45,94,"CHARLIE'S DELI CAFE",-122.413641,37.747114
"5",48,92,"ART'S CAFE",-122.465749,37.764013
"6",54,100,"RHODA GOLDMAN PLAZA",-122.437734,37.784626
"7",56,98,"CAFE X + O",-122.426476,37.742325
"8",61,92,"Chowders",-122.410189,37.80824
"9",66,100,"STARBUCKS",-122.477461,37.763578
"10",67,90,"Revolution Cafe",-122.419542,37.755419
"11",71,100,"KAPPA RESTAURANT",-122.430074,37.785567
"12",76,100,"OMNI S.F. Hotel - 3rd Floor Pantry",-122.403135,37.792888
"13",77,96,"OMNI S.F. Hotel - Employee Cafeteria",-122.403135,37.792888
"14",80,100,"LAW SCHOOL CAFE",-122.452797,37.774941
"15",88,89,"J.B.'S PLACE",-122.398084,37.765003
"16",95,85,"Vega",-122.417447,37.739207
"17",98,94,"XOX Truffles",-122.412104,37.801665
"18",101,96,"Cable Car Corner",-122.409705,37.794615
"19",102,100,"Akiko's Sushi Bar",-122.410045,37.788484
"20",108,94,"Rue Lepic",-122.410854,37.790868
"21",111,92,"Petite Deli",-122.412104,37.801665
"22",125,100,"Centerfolds",-122.403637,37.798233
"23",130,100,"Caffe Macaroni",-122.404308,37.796208
"24",132,86,"Silver Star Cafe and Deli",-122.401125,37.797668
"25",134,98,"Mint",-122.418974,37.780247
"26",140,96,"Cafe Madeleine",-122.400323,37.793268
"27",141,100,"AFC SUSHI @ MOLLIE STONE'S 2",-122.434697,37.788773
"28",164,100,"San Francisco Soup Co",-122.402861,37.789064
"29",178,90,"C & Y Cafe",-122.401395,37.793128
"30",179,94,"SECRET GARDEN TEA HOUSE",-122.465809,37.765933
"31",180,91,"NENAS RESTAURANT",-122.422484,37.74146
"32",184,96,"RADIO HAVANA",-122.420916,37.755124
"33",187,100,"TAZA WRAPS & JUICE",-122.483612,37.723054
"34",190,92,"COURTYARD BY MARRIOTT-STAFF KITCHEN",-122.396693,37.785614
"35",192,92,"ARLEQUIN",-122.422345,37.777014
"36",198,94,"SUBWAY",-122.388098,37.741829
"37",216,100,"SORABOL",-122.393992,37.792577
"38",217,94,"PROGRESSIVE GROUNDS",-122.417653,37.739143
"39",221,91,"NOODLE EXPRESS",-122.421822,37.787076
"40",239,90,"Just Wonton",-122.480409,37.739063
"41",251,96,"BEANERY INC.",-122.464391,37.764148
"42",253,98,"Ann's Donut Coffee Shop",-122.433906,37.725949
